,ID,Ortsteil,Bezirk,Typ,Bezeichnung,Ensemble_Info,Zugehörigkeit,Adresse,Adresse2,Architekt und weitere Informationen,Jahr
3056,09095284,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 12,,,1889
3057,09095285,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 13,,,1889
3058,09095286,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 14,,,1889
3059,09095287,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Kernhofer Straße 15,,,1889
3060,09095235,LIC/RUMBG-E,Lichtenberg,Ensemble,Wohn- und Gewerbebau,Ensemble-Bestandteil,,Pfarrstraße 87,,,1880
3061,09095236,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 88 / Hauffstraße 4,,,1898
3062,09095237,LIC/RUMBG-E,Lichtenberg,Ensemble,"Mietshaus, Remise, Mauer",Ensemble-Bestandteil,,Pfarrstraße 90,,,1895
3063,09095239,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 92,,,1895
3064,09095240,LIC/RUMBG-E,Lichtenberg,Ensemble,"Mietshaus, Quergebäude, Mauer",Ensemble-Bestandteil,,Pfarrstraße 94/96,,,1897
3065,09095241,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 98,,,1898
3066,09095242,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 102,,,1898
3067,09095243,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 103,,,1890
3068,09095244,LIC/RUMBG-E,Lichtenberg,Ensemble,"Mietshaus, Quergebäude",Ensemble-Bestandteil,,Pfarrstraße 104,,,1895-97
3069,09095245,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 107,,,1895
3070,09095246,LIC/RUMBG-E,Lichtenberg,Ensemble,"Mietshaus, Quergebäude",Ensemble-Bestandteil,,Pfarrstraße 108,,,1896
3071,09095247,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 110,,,1896
3072,09095248,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 111,,,1890 und 1895
3073,09095249,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 112,,,1892
3074,09095250,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 113,,,1890
3075,09095275,LIC/RUMBG-E,Lichtenberg,Ensemble,Gewerbebau,Ensemble-Bestandteil,,Pfarrstraße 114,,,1885
3076,09095251,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 116 / Kaskelstraße 9,,,1891
3077,09095252,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 117 / Kaskelstraße 12,,,1891
3078,09095253,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 118 / Kaskelstraße 10,,,1891
3079,09095254,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 119,,,1888
3080,09095255,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 120,,,1889
3081,09095256,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 121,,,1888
3082,09095257,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus mit Seitenflügel,Ensemble-Bestandteil,,Pfarrstraße 122,,,1887 und 1890
3083,09095258,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 123,,,1888
3084,09095259,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 124,,,1889 und 1890
3085,09095260,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 125,,,1887
3086,09095261,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 126,,,1889
3087,09095262,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 127,,,1885
3088,09095263,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 128,,,1887
3089,09095264,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 129,,,1886
3090,09095265,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 131,,,1886
3091,09095266,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 132,,,1885
3092,09095267,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 133,,,1886
3093,09095268,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus und Fachwerkremise,Ensemble-Bestandteil,,Pfarrstraße 134,,,1887
3094,09095269,LIC/RUMBG-E,Lichtenberg,Ensemble,"Mietshaus, Quergebäude",Ensemble-Bestandteil,,Pfarrstraße 136,,,1884
3095,09095270,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus und Remise,Ensemble-Bestandteil,,Pfarrstraße 138,,,1887
3096,09095271,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 139,,,1882
3097,09095272,LIC/RUMBG-E,Lichtenberg,Ensemble,Mietshaus,Ensemble-Bestandteil,,Pfarrstraße 140,,,1892
